Название;Категория;Производитель;SKU;guid;ЗакупочнаяЦена;БонуснаяЦена;ПолнаяЦена;НаличиеНурсултан;НаличиеПавлодар;Гарантия;КодОпенкарта;НаличиеАлматы;НаличиеПанфилова;
"Фен CENTEK CT-2240 Black/Gold";"Фены";"Centek";"CT-2240 Black/Gold";20477c47-8dd8-11ee-b0f2-a8a1595902d2;7070;9545;9545;0;1;12 мес;88912094;1;0;
"Вакууматор Kitfort KT-1505-2, белый";"Вакуумные упаковщики";"KITFORT";"KT-1505-2";b16d585c-8f6d-11ee-b0f3-a8a1595902d2;15743;20985;15688;0;0;12 мес;88912230;1;0;
"Розетка Schneider Electric SE EPH3000121 Asfora 16А в сборе винт. клеммы белый";"Розетки, выключатели";"Schneider Electric";"SE EPH3000121 Asfora 16А в сборе винт. клеммы белый";b0d60196-9039-11ee-b0f3-a8a1595902d2;573;728;885;0;0;12 мес;88912340;2;0;
"Выключатель автоматический Schneider Electric EZ9D34625";"Выключатели автоматические";"Schneider Electric";"EZ9D34625";eaa05168-9039-11ee-b0f3-a8a1595902d2;11087;14524;14060;0;0;12 мес;88912493;2;0;
"Выключатель автоматический Schneider Electric R9D25632";"Выключатели автоматические";"Schneider Electric";"R9D25632";27f9d284-903b-11ee-b0f3-a8a1595902d2;30272;40413;41547;0;0;12 мес;88912545;1;0;
"Выключатель автоматический Schneider Electric R9F12140";"Выключатели автоматические";"Schneider Electric";"R9F12140";3981bcdf-903b-11ee-b0f3-a8a1595902d2;2236;3801;3200;0;0;12 мес;88912599;1;0;
"Выключатель автоматический Schneider Electric R9F12150";"Выключатели автоматические";"Schneider Electric";"R9F12150";3981bce2-903b-11ee-b0f3-a8a1595902d2;3492;4365;4469;0;0;12 мес;88912600;1;0;
"Корпус Corsair iCUE 4000X RGB Black CC-9011204-WW";"Корпуса";"Corsair";"CC-9011204-WW";db64885b-92a2-11ee-b0f3-a8a1595902d2;53813;64576;61142;0;0;12 мес;88912775;1;0;
"Жарочный шкаф Centek CT-1530-36 Red";"Электропечи";"Centek";"CT-1530-36 RED PROMO";90cf1e6e-942a-11ee-b0f3-a8a1595902d2;25119;32980;31357;0;1;12 мес.;88912880;1;0;
"Жарочный шкаф Centek CT-1530-36 Gril Black";"Электропечи";"Centek";"CT-1530-36 GRILL Black";90cf1e71-942a-11ee-b0f3-a8a1595902d2;33676;41590;32033;0;0;12 мес.;88912881;1;0;
"Плита электрическая Centek CT-1506 Siberia";"Настольные плиты";"Centek";"CT-1506 Siberia";dbda9774-94f9-11ee-b0f3-a8a1595902d2;4117;5970;4790;0;0;12 мес.;88912936;5;0;
"Кронштейн HyperX Armada Gaming Mount Addon, 66X82AA";"Кронштейны для ТВ и мониторов";"HyperX";"66X82AA";e2521843-99a4-11ee-b0f3-a8a1595902d2;26059;32704;33546;0;0;12 мес;88913086;1;0;
"Сэндвичница Russell Hobbs, 24530-56";"Сэндвичницы и вафельницы";"Russell Hobbs";"24530-56";5dba0dc6-9a5d-11ee-b0f3-a8a1595902d2;23792;29859;19446;0;0;12 мес;88913140;1;0;
"Коврик 1stPlayer PLS-1 770x295x3mm";"Коврики для мыши";"1stPlayer";"PLS-1";983b56e3-9b23-11ee-b0f3-a8a1595902d2;1781;3023;2682;0;0;12 мес;88913210;1;0;
"Комплект вентиляторов для корпуса 1stPlayer FIS-W COMBO 3в1 120mm";"Охлаждение для корпусов ПК";"1stPlayer";"FIS-W COMBO";983b56f8-9b23-11ee-b0f3-a8a1595902d2;7900;10665;13344;0;0;12 мес;88913217;1;0;
"Комплект вентиляторов для корпуса 1stPlayer FIREMOON M1-PLUS COMBO 140mm";"Охлаждение для корпусов ПК";"1stPlayer";"FIREMOON M1-PLUS COMBO";983b5704-9b23-11ee-b0f3-a8a1595902d2;9361;12544;12839;0;1;12 мес;88913221;2;0;
"Комплект вентиляторов для корпуса 1stPlayer FIREMOON M1-D-W COMBO 3в1 120mm";"Охлаждение для корпусов ПК";"1stPlayer";"FIREMOON M1-D-W COMBO";983b5707-9b23-11ee-b0f3-a8a1595902d2;8882;11902;12451;0;3;12 мес;88913222;1;0;
"Корпус 1stPlayer Steam Punk SP7 Emotion View White, SP7-EV-WH";"Корпуса";"1stPlayer";"SP7-EV-WH";ad03c60f-9b23-11ee-b0f3-a8a1595902d2;62794;75039;75242;0;0;12 мес;88913228;1;0;
"Мультиварка CENTEK CT-1474, Black";"Мультиварки";"Centek";"CT-1474 Black";93ab24c2-9b3e-11ee-b0f3-a8a1595902d2;41097;49522;50192;0;0;12 мес;88913253;1;0;
"Комплект вентиляторов для корпуса 1stPlayer FIREMOON M1-D COMBO 120mm";"Охлаждение для корпусов ПК";"1stPlayer";"FIREMOON M1-D COMBO";3c164aa3-9bea-11ee-b0f3-a8a1595902d2;8689;11995;12708;0;1;12 мес;88913259;2;0;
"Корпус Thermaltake AH T200 Turquoise, CA-1R4-00SBWN-00";"Корпуса";"Thermaltake";"CA-1R4-00SBWN-00";734f7737-9e5e-11ee-b0f3-a8a1595902d2;60600;73650;71508;0;0;12 мес;88913433;1;0;
"Гарнитура Jabra BIZ 2300 Mono QD, 2303-820-104";"Наушники и гарнитуры";"Jabra";"2303-820-104";8de02427-9f20-11ee-b0f3-a8a1595902d2;39900;48878;53985;0;0;12 мес;88913604;1;0;
"Увлажнитель воздуха Deerma DEM-F628S";"Увлажнители воздуха";"Deerma";"DEM-F628S";c8e947bd-a2e9-11ee-b0f5-a8a1595902d2;17990;23117;18646;0;0;12 мес;88913887;1;0;
"Сковорода Tefal Force 22cm 04218922";"Сковороды";"Tefal";"04218922";daea4d0a-a3c9-11ee-b0f5-a8a1595902d2;17993;23121;17670;0;0;12 мес;88914189;1;0;
"Самовар Centek CT-0092, White";"Чайники и термопоты";"Centek";"CT-0092 White";8bd56693-a3e6-11ee-b0f5-a8a1595902d2;30957;38232;33825;0;0;12 мес;88914272;1;0;
"Вытяжка CENTEK CT-1801-60 Black";"Вытяжки";"Centek";"CT-1801-60 Black";8bd5669f-a3e6-11ee-b0f5-a8a1595902d2;27576;34332;29092;0;0;12 мес;88914276;1;0;
"Клавиатура VARMILO Dreams on Board VEM108 EC V2 Rose A36A030B0A3A06A028";"Клавиатуры";"Varmilo";"A36A030B0A3A06A028";1d3f0f70-a487-11ee-b0f5-a8a1595902d2;53290;63948;66759;0;0;12 мес;88914382;1;0;
"Клавиатура VARMILO Crane VEA108 Cherry MX Red A03A037D4A0A06A031";"Клавиатуры";"Varmilo";"A03A037D4A0A06A031";1d3f0f7c-a487-11ee-b0f5-a8a1595902d2;72527;86307;88972;0;0;12 мес;88914386;1;0;
"Электросамокат Xiaomi Mi Electric Scooter 3 black, DDHBC16NEB BHR4854GL";"Электросамокаты и электроскутеры";"Xiaomi";"DDHBC16NEB BHR4854GL";0bbad429-a490-11ee-b0f5-a8a1595902d2;199274;244111;233988;0;0;12 мес;88914460;1;0;
"Удлинитель Defender S450 White 5m, 99239";"Сетевые фильтры, адаптеры";"Defender";"99239";26ba9a58-a63d-11ee-b0f5-a8a1595902d2;2160;2700;2690;0;0;12 мес;88914596;1;1;
"Материнская плата Asus TUF Gaming B760-Plus WiFi";"Материнские платы";"ASUS";"TUF Gaming B760-Plus WiFi";36804ac8-a6df-11ee-b0f5-a8a1595902d2;106275;125405;108487;0;0;12 мес;88914662;1;0;
