Название;Категория;Производитель;SKU;guid;ЗакупочнаяЦена;БонуснаяЦена;ПолнаяЦена;НаличиеНурсултан;НаличиеПавлодар;Гарантия;КодОпенкарта;НаличиеАлматы;НаличиеПанфилова;
"Чернила Epson C13T67354A L800, Light Cyan";"Чернила";"Epson";"C13T67354A";c1c4b032-b025-11e8-8008-7c8bca00133f;7808;10541;9338;2;3;1 мес.;46251;0;2;
"Чернила Epson C13T67314A L800, Black";"Чернила";"Epson";"C13T67314A";c1c4b034-b025-11e8-8008-7c8bca00133f;7845;10591;9338;2;6;1 мес.;44496;0;0;
"Чернила Epson C13T67324A L800, Cyan";"Чернила";"Epson";"C13T67324A";c1c4b036-b025-11e8-8008-7c8bca00133f;7808;10541;9338;2;5;1 мес.;46215;0;0;
"Чернила Epson C13T67334A L800, Magenta";"Чернила";"Epson";"C13T67334A";c1c4b038-b025-11e8-8008-7c8bca00133f;7808;10541;9338;2;5;1 мес.;44500;0;2;
"Чернила Epson C13T67344A L800, Yellow";"Чернила";"Epson";"C13T67344A";c1c4b03a-b025-11e8-8008-7c8bca00133f;7808;10541;9338;2;5;1 мес.;46214;0;3;
"Чернила Epson C13T67364A L800, Light Magenta";"Чернила";"Epson";"C13T67364A";c1c4b03c-b025-11e8-8008-7c8bca00133f;7808;10541;9338;2;3;1 мес.;46250;0;0;
"Мышь Steelseries Prime Mini, 62421";"Мыши";"SteelSeries";"62421";1f4da8a5-5c9f-11ec-8114-7c8bca00133f;16650;21645;19302;1;0;12 мес.;54473;0;0;
"Корпус X-Game XC-370PS-2,  ATX, Black, 400W";"Корпуса";"X-Game";"XC-370PS-2";f2f4a728-8271-11ec-8189-7c8bca00133f;10750;14083;13689;2;0;1 мес.;54969;0;0;
"Вентилятор для корпуса Thermaltake Luna 12 LED Red, CL-F017-PL12RE-A";"Охлаждение для корпусов ПК";"Thermaltake";"CL-F017-PL12RE-A";ea38d071-c72f-11ec-8235-00155d466f08;4367;7201;8595;1;0;1 мес.;55919;0;0;
"Кабель HDMI(M) - HDMI(M) iPower iPiHDMi50 ver.1.4 5m";"Кабели";"iPower";"iPiHDMi50 5m";28a37289-ca39-11e9-82b8-7c8bca00133f;1338;1699;1563;2;1;1 мес.;47580;0;0;
"Адаптер mini jack 3.5 мм (F) > 2 x mini jack 3.5 мм (M)";"Адаптеры";"No name";"3.5F-2x3.5M";1728da31-cd6d-11e9-82b8-7c8bca00133f;245;600;600;1;11;1 мес.;48457;2;0;
"Адаптер 2 x mini jack 3.5 мм (F) > mini jack 3.5 мм (M) ""шнур""";"Адаптеры";"No name";"2x3.5F-3.5M-C";847cb797-d458-11e9-82b8-7c8bca00133f;245;600;600;8;12;1 мес.;48458;0;1;
"Оперативная память DDR3 1600/4Gb Patriot, PSD34G16002";"Оперативная память";"Patriot";"PSD34G16002";5a4d80c6-1922-11e8-8470-7c8bca00133f;3625;4531;4885;1;0;24 мес.;42916;0;0;
"Хомут нейлоновый Deluxe 2.5*200 мм белый (100 штук в упаковке)";"Крепежи и метизы";"Deluxe";"2.5*200 мм белый (100 штук в упаковке)";71ea2ff9-bcae-11e7-8513-7c8bca00133f;216;321;354;4;134;1 мес.;43596;0;20;
"Хомут нейлоновый Deluxe 3.6*200 мм белый (100 штук в упаковке)";"Крепежи и метизы";"Deluxe";"3.6*200 мм белый (100 штук в упаковке)";71ea2ffb-bcae-11e7-8513-7c8bca00133f;299;410;389;2;8;1 мес.;46802;0;0;
"Хомут нейлоновый Deluxe 4.8*250 мм белый (100 штук в упаковке)";"Крепежи и метизы";"Deluxe";"4.8*250 мм белый (100 штук в упаковке)";71ea2ffd-bcae-11e7-8513-7c8bca00133f;510;696;1377;3;92;1 мес.;42490;0;0;
"Оперативная память DDR4 2400/4Gb Geil Pristine Series, GP44GB2400C17SC";"Оперативная память";"Geil";"GP44GB2400C17SC";0e0897fc-c12b-11e7-8513-7c8bca00133f;4535;7352;6791;1;0;36 мес.;42282;0;0;
"Клавиатура A4Tech Bloody B3590R Black/Grey";"Клавиатуры";"A4Tech";"B3590R Black/Grey";31d48dab-a688-11ec-8581-00155d466f08;16815;24985;21523;2;2;12 мес.;56001;4;0;
"Зарядное устройство USB Awei C3, 2xUSB 5V/2.1А, Black";"Зарядные устройства";"AWEI";"Awei C3 Black";aa85e575-8751-11ec-8581-7c8bca00133f;1418;2836;1924;1;0;12 мес.;55479;0;0;
"Картридж NVP NV-MLTD209L";"Картриджи, тонеры, барабаны";"NVP";"NV-MLTD209L";aa931d3e-db44-11e7-85ef-7c8bca00133f;3895;6617;6622;2;2;1 мес.;42523;0;0;
"Кулер для процессора GameMax Gamma 500-Rainbow, 14100900456";"Кулеры для процессоров";"GameMax";"14100900456";1c134e19-da91-11e8-86b6-7c8bca00133f;11155;14613;12172;2;0;12 мес.;46037;0;0;
"Корпус Aerocool CS-1101 Black, ACCM-PC02014.11";"Корпуса";"AeroCool";"ACCM-PC02014.11";9a900287-ad62-11e5-8727-d02788d90a1b;12893;17083;14950;1;1;12 мес.;35478;0;0;
"Комплект беспроводной клавиатура + мышь Delux DLD-1505OGB";"Наборы Клавиатура + Мышь";"Delux";"DLD-1505OGB";c63516fa-57c7-11e4-88df-7824af41068b;4903;7109;6552;6;3;12 мес.;26825;0;0;
"Клавиатура A4Tech Bloody B3590R Black/Red";"Клавиатуры";"A4Tech";"B3590R Black/Red";0a5c541a-18dc-11ea-89e5-7c8bca00133f;16104;20935;20613;1;4;12 мес.;48093;0;0;
"Кабель DP(M) - DP(M) iPower iPDP4k20 4K 2m";"Кабели";"iPower";"iPDP4k20";23de6f88-2564-11ea-89e5-7c8bca00133f;1954;3322;3488;5;0;1 мес.;48365;0;0;
"Кабель DP(M) - DP(M) iPower iPDP8k20 8K 2m";"Кабели";"iPower";"iPDP8k20";23de6f94-2564-11ea-89e5-7c8bca00133f;3305;5619;3780;1;0;12 мес.;48366;0;0;
"Сковорода VINZER Greblon Compact Induction 28cm 89513";"Сковороды";"Vinzer";"89513";fe493fb6-6350-11ec-89fd-7c8bca00133f;8955;12895;13880;1;1;;54747;0;0;
"ИБП SVC V-800-L";"Источники бесперебойного питания";"SVC";"V-800-L";7638e703-7350-11e5-8cad-d02788d90a1b;17910;24120;24856;4;3;12 мес.;35155;0;0;
"Мышь Delux DLM-391OUB, Black";"Мыши";"Delux";"DLM-391OUB";43c68bc5-914d-11e5-8cad-d02788d90a1b;1614;2018;1896;1;5;12 мес.;35363;3;0;
"Коммутатор TP-Link TL-SG105S";"Коммутаторы";"TP-LINK";"TL-SG105S";b399b8a3-ca76-11eb-8d18-7c8bca00133f;9359;12541;11544;2;0;12 мес.;52342;0;0;
"Кулер для процессора Deepcool AS500, R-AS500-BKNLMN-G";"Кулеры для процессоров";"DeepCool";"R-AS500-BKNLMN-G";6e0e8919-cac1-11eb-8d18-7c8bca00133f;22616;28383;30316;2;1;12 мес.;51469;6;0;
"Охлаждающая подставка для ноутбука X-Game X8 15,6""";"Подставки для ноутбуков";"X-Game";"X-Game X8";ebd94e27-ce61-11eb-8d18-7c8bca00133f;6692;10703;9369;2;0;6 мес.;52458;0;0;
"Кулер для процессора PCCOOLER E126M PRO, SRGB";"Кулеры для процессоров";"PCCOOLER";"E126M PRO";52ba8a6c-d5da-11eb-8d18-7c8bca00133f;3128;3910;3176;2;6;12 мес.;52760;0;0;
"Коврик X-game World War Craft (Small)";"Коврики для мыши";"X-Game";"World War Craft (Small)";b8bc5d70-d7f8-11eb-8d18-7c8bca00133f;550;2164;2985;5;2;1 мес.;52363;0;0;
"Термопаста Deepcool EX750, R-EX750-GY050C-G-1, 5гр (2 шприца по 2,5 гр)";"Термопаста и термоклей";"DeepCool";"R-EX750-GY050C-G-1";e6be6850-e854-11eb-8d18-7c8bca00133f;5083;7256;7251;3;3;1 мес.;52841;0;1;
"Клавиатура Razer BlackWidow V3, Green Switch, RZ03-03540800-R3R1";"Клавиатуры";"Razer";"RZ03-03540800-R3R1";23f2746c-e991-11eb-8d18-7c8bca00133f;40440;52995;63795;1;0;12 мес.;52715;0;1;
"Точка доступа TP-Link TL-WA801N";"Беспроводные точки доступа";"TP-LINK";"TL-WA801N";b62d9de8-39fb-11eb-8d19-7c8bca00133f;11470;15880;14161;1;0;12 мес.;51529;0;0;
"USB Flash drive 128Gb Kingston DataTraveler Exodia, DTX/128GB";"USB Flash накопители";"Kingston";"DTX/128GB";48dbf160-3c5a-11eb-8d19-7c8bca00133f;3048;3810;3468;2;0;36 мес.;50844;0;0;
"USB Flash drive 64Gb Kingston DataTraveler Kyson, DTKN/64GB";"USB Flash накопители";"Kingston";"DTKN/64GB";48dbf164-3c5a-11eb-8d19-7c8bca00133f;3092;3865;3525;1;7;36 мес.;50843;1;0;
"Корпус Zalman R2 White";"Корпуса";"Zalman";"Zalman R2 White";3dfc19a4-55cf-11eb-8d19-7c8bca00133f;19183;26564;24320;2;0;12 мес.;51080;0;0;
"Материнская плата ASUS PRIME A520M-K";"Материнские платы";"ASUS";"PRIME A520M-K";5ebb3481-55df-11eb-8d19-7c8bca00133f;32972;40720;36378;1;0;36 мес.;50061;0;0;
"Акустическая система Acme SP101, Grey";"Акустические системы";"ACME";"Acme SP101";c2bc9949-e6a9-11ea-8de1-7c8bca00133f;3600;6120;6120;2;2;12 мес.;49576;0;0;
"Стабилизатор SVC AVR-1000-L";"Стабилизаторы";"SVC";"AVR-1000-L";8af38303-f792-11eb-9091-7c8bca00133f;9861;13214;12442;1;1;12 мес.;52609;0;0;
"Привод DVD#RW LiteOn, DL, SATA, Black [IHAS124-14], oem";"Оптические приводы и дисководы";"LITE-ON";"IHAS124-14";c41b7385-4fa0-11e4-9140-94de80af9af5;5723;9271;10603;1;3;12 мес.;88895767;0;0;
"Адаптер 1x VGA(M) > 2x VGA(F)";"Адаптеры";"No name";"1x VGA(M) > 2x VGA(F)";13f55448-f85d-11e8-921b-7c8bca00133f;490;833;875;2;0;1 мес.;46177;0;0;
"Мышь Delux DLM-391OGB, Black";"Мыши";"Delux";"DLM-391OGB";5851e03f-fbab-11e8-921b-7c8bca00133f;2120;2650;2493;1;0;12 мес.;45178;0;0;
"Усилитель Wi-Fi сигнала Mercusys MW300RE";"Усилители сигнала (репиторы)";"Mercusys";"MW300RE";e92061e8-fcfe-11e8-921b-7c8bca00133f;7081;9559;8932;2;0;12 мес.;45830;0;1;
"ИБП SVC V-1500-L-LCD";"Источники бесперебойного питания";"SVC";"V-1500-L-LCD";1e29e592-098f-11e9-921b-7c8bca00133f;45367;54667;50879;1;2;12 мес.;46265;0;1;
"Кабель DVI-D - DVI-D LAN 1.5 м";"Кабели";"LAN";"LAN DVI-D-DVI-D 1.5";69303ac5-0a5c-11e9-921b-7c8bca00133f;690;2000;2300;1;0;1 мес.;43320;0;0;
"Клавиатура Delux DLK-6060UB, USB, Black";"Клавиатуры";"Delux";"DLK-6060UB";702aa423-1725-11e9-921b-7c8bca00133f;3400;4250;4221;1;2;12 мес.;46308;8;0;
"Акустическая система Genius SP-HF180, Wood";"Акустические системы";"Genius";"SP-HF180 Wood";e71c95a5-53dc-11ea-93a8-7c8bca00133f;3798;4748;4025;3;0;6 мес.;48545;0;0;
"Кабель HDMI-HDMI Cablexpert CC-HDMI4L-10 v1.4 3m";"Кабели";"Cablexpert";"CC-HDMI4L-10";deb7e7ce-56ea-11ea-93a8-7c8bca00133f;1143;1941;2174;3;2;1 мес.;48675;0;0;
"Коммутатор Tp-link LS1005 (5-port 10/100 mini Desktop Swith, 5 10/100 RJ45 ports, Plastic case)";"Коммутаторы";"TP-LINK";"LS1005";d80a11ae-699b-11ea-93a8-7c8bca00133f;4433;6428;4835;6;0;12 мес.;48866;0;2;
"Монитор 21.5""  AOC E2270SWN/01, Black";"Мониторы";"AOC";"E2270SWN/01";df99e0f8-d98b-11e5-966e-d02788d90a1b;31140;41567;37076;1;0;36 мес.;43410;0;0;
"Внешний HDD 2.5"" 2Tb Transcend StoreJet 25H3 TS2TSJ25H3P, USB3.0, Violet/Black";"Внешние HDD/SSD";"Transcend";"TS2TSJ25H3P";52f6fafc-df24-11e5-966e-d02788d90a1b;51084;61301;49889;1;0;24 мес.;40407;0;0;
"Беспроводной адаптер TP-LINK TL-WN727N";"Беспроводные адаптеры";"TP-LINK";"TL-WN727N";10e80816-41f1-11e3-96d2-50465d082161;4352;6310;4734;1;0;12 мес.;36854;0;0;
"Беспроводной адаптер TP-LINK TL-WN881ND";"Беспроводные адаптеры";"TP-LINK";"TL-WN881ND";10e80823-41f1-11e3-96d2-50465d082161;8309;11217;9800;2;1;12 мес.;28453;0;0;
"Беспроводной адаптер TP-LINK TL-WN781ND";"Беспроводные адаптеры";"TP-LINK";"TL-WN781ND";10e8082c-41f1-11e3-96d2-50465d082161;6290;8806;7790;1;0;12 мес.;36804;0;0;
"Вентилятор для корпуса Deepcool XFAN 120, 120x120 мм";"Охлаждение для корпусов ПК";"DeepCool";"XFAN 120";0ae1a352-4616-11e3-96d9-50465d082161;1287;1780;1370;1;41;1 мес.;38843;0;0;
"Блок питания для модема Tp-link T090060-2C1 9 V ~ 0.6A";"Зарядные устройства";"TP-LINK";"Tp-link 9 V ~ 0.6A";abcb8db7-4a87-11e3-96de-50465d082161;1100;2200;1870;4;7;1 мес.;36215;0;0;
"Сетевая карта TP-LINK TG-3468 (10/100/1000Mbps, 32bit Gigabit PCIe Networks Adapter)";"Сетевые карты";"TP-LINK";"TG-3468";857f501b-58e7-11e3-96ee-50465d082161;6371;8919;7902;1;5;12 мес.;36197;0;0;
"Коннектор SHIP UTP RJ 45, S901A";"Патчкорды и коннекторы";"SHIP";"S901A";3a1ef822-cb73-11e3-9781-50465d082161;19;37;37;170;3742;1 мес.;36251;0;0;
"Переходник (брекет) LPT, GigaByte 12CF1-1LP001-02R";"Адаптеры";"Gigabyte";"12CF1-1LP001-02R";99b5fb32-dd8a-11e3-978b-50465d082161;653;1633;1110;1;9;1 мес.;34979;0;0;
"Усилитель Wi-Fi сигнала TP-LINK TL-WA850RE";"Усилители сигнала (репиторы)";"TP-LINK";"TL-WA850RE";c66ffac1-07f8-11e4-979f-50465d082161;10620;13912;13112;2;0;12 мес.;36795;0;0;
"Комплект клавиатура + мышь Delux DLD-6075OUB, USB, Black";"Наборы Клавиатура + Мышь";"Delux";"DLD-6075OUB";6b1dc039-1de8-11e4-97ae-50465d082161;4266;6186;6255;9;14;12 мес.;35453;0;5;
"Диск SSD M.2 PCI-E 256Gb Apacer AS2280P4, AP256GAS2280P4-1";"Твердотельные диски (SSD)";"Apacer";"AP256GAS2280P4-1";c9d0a413-c6d4-11ea-97b5-7c8bca00133f;10309;13505;12342;11;5;36 мес.;49234;0;0;
"Блок питания Thermaltake Toughpower GX1 RGB 500W, PS-TPD-0500NHFAGE-1";"Блоки питания";"Thermaltake";"PS-TPD-0500NHFAGE-1";120c6e68-d1d0-11ea-97b5-7c8bca00133f;34650;43542;41927;1;0;24 мес.;49507;0;0;
"Оперативная память DDR4 2666/4Gb Geil Pristine Series, GP44GB2666C19SC";"Оперативная память";"Geil";"GP44GB2666C19SC";c8d19a6d-db3f-11ea-97b5-7c8bca00133f;4535;7115;7115;2;1;36 мес.;49458;0;0;
"Беспроводной адаптер TP-LINK TL-WN821N";"Беспроводные адаптеры";"TP-LINK";"TL-WN821N";4ab4c0e5-4608-11e4-97bc-50465d082161;5090;7228;6772;1;2;12 мес.;36805;0;0;
"Корпус Delux Atom Black";"Корпуса";"Delux";"Atom";8134b30a-9a47-11e9-980f-7c8bca00133f;11842;15691;15042;1;0;1 мес.;47416;0;0;
"ИБП SVC V-650-L-LCD";"Источники бесперебойного питания";"SVC";"V-650-L-LCD";be640431-9e1c-11e9-980f-7c8bca00133f;20880;26204;25858;1;0;12 мес.;47579;0;0;
"Батарейка CAMELION AAA, LR03-PB24, Plus Alkaline, 1.5V,1250 mAh, 24шт";"Батарейки и зарядные устройства";"CAMELION";"LR03-PB24";fe112cf2-a3af-11e9-980f-7c8bca00133f;2520;3150;2864;74;32;1 мес.;43195;0;0;
"Коннектор SHIP UTP RJ 45, S901D, cat. 6";"Патчкорды и коннекторы";"SHIP";"SHIP S901D";e4842f3e-b15f-11e6-9935-1c872c710840;58;120;120;100;890;1 мес.;42384;0;0;
"Блок питания Thermaltake TR2 S 700W, PS-TRS-0700NPCWEU-2";"Блоки питания";"Thermaltake";"PS-TRS-0700NPCWEU-2";84fd6cc1-cadc-11e6-9935-1c872c710840;24728;31034;39913;1;5;24 мес.;39951;0;0;
"Кабель DVI-D - DVI-D LAN 3m";"Кабели";"No name";"LAN DVI-D-DVI-D 3m";c33d82f7-e8c8-11e9-9a42-7c8bca00133f;990;2200;2500;2;4;1 мес.;47707;0;0;
"Оперативная память DDR4 2666/4G Apacer, EL.04G2V.KNH";"Оперативная память";"Apacer";"EL.04G2V.KNH";93f587f5-edd7-11e9-9a42-7c8bca00133f;5533;7857;7543;1;1;36 мес.;47736;0;0;
"Блок питания CoolerMaster MasterWatt Lite 700W, MPE-7001-ACABW-EU";"Блоки питания";"Cooler Master";"MPE-7001-ACABW-EU";6db68673-4d08-11ea-9a96-7c8bca00133f;27500;37258;39131;1;0;24 мес.;48417;0;0;
"Мышь Logitech M171, 910-004424, Black";"Мыши";"Logitech";"910-004424";3f6fe38a-50bf-11ea-9a96-7c8bca00133f;5629;7993;6300;1;0;12 мес.;47492;0;0;
"ИБП SVC V-650-L";"Источники бесперебойного питания";"SVC";"V-650-L";6fc87f61-ed4c-11e6-9aa2-1c872c710840;17400;22620;22074;2;3;12 мес.;40563;0;0;
"Усилитель Wi-Fi сигнала TP-LINK TL-WA854RE";"Усилители сигнала (репиторы)";"TP-LINK";"TL-WA854RE";ba403ce4-07be-11e7-9aa2-1c872c710840;10651;13953;12852;2;0;12 мес.;36796;0;0;
"Патч-корд CK-Link Cat.5e, RJ-45, Grey, 1 м";"Патчкорды и коннекторы";"CK-Link";"CK-Link 5e Optima, 1 м";0f436359-3be1-11e9-9ebc-7c8bca00133f;120;330;350;1;10;1 мес.;46599;0;0;
"Кабель питания С13-С14, 1.2 метра";"Кабели";"No name";"С13-С14 1.2 м";ec3a204e-4618-11e9-9ebc-7c8bca00133f;801;2003;1362;4;0;1 мес.;46625;0;0;
"Хомут нейлоновый Deluxe 3.6*250 мм белый (100 штук в упаковке)";"Крепежи и метизы";"Deluxe";"3.6*250 мм белый (100 штук в упаковке)";78131930-543a-11e9-9ebc-7c8bca00133f;333;492;461;3;39;1 мес.;46804;0;0;
"Хомут нейлоновый Deluxe 4.8*380 мм белый (100 штук в упаковке)";"Крепежи и метизы";"Deluxe";"4.8*380 мм белый (100 штук в упаковке)";78131938-543a-11e9-9ebc-7c8bca00133f;723;974;929;2;28;1 мес.;46807;0;0;
"Клавиатура Defender Paladin GK-370L, 45371";"Клавиатуры";"Defender";"45371";56d029f5-46d5-11ec-9fc4-7c8bca00133f;11391;15868;17087;2;0;6 мес.;54789;0;0;
"Инвертор SVC DI-1200-F-LCD";"Инверторы";"SVC";"DI-1200-F-LCD";ecbb1e61-7c52-11e4-a1ae-d02788d90a1b;59628;71255;70965;2;1;12 мес.;38328;0;0;
"Коммутатор TP-LINK TL-SG105";"Коммутаторы";"TP-LINK";"TL-SG105";bd0b101a-8034-11e4-a1ae-d02788d90a1b;8955;12000;9385;5;1;12 мес.;36776;0;0;
"Кулер для процессора Deepcool ICE BLADE 100, DP-MCH1D8-IB100";"Кулеры для процессоров";"DeepCool";"DP-MCH1D8-IB100";a7481841-154b-11e7-a25b-1c872c710840;5410;7682;4654;4;0;12 мес.;42119;0;0;
"Оперативная память DDR3 1333/4Gb AMD, R334G1339U1S-U";"Оперативная память";"AMD";"R334G1339U1S-U";a5ab2617-017f-11eb-a33e-7c8bca00133f;3739;6352;5985;1;0;36 мес.;49854;0;0;
"Коммутатор Tp-link LS1008";"Коммутаторы";"TP-LINK";"LS1008";aa50a1d9-fa6c-11ea-a44d-7c8bca00133f;5806;8245;7111;1;4;12 мес.;49821;1;0;
"Диск SSD 2.5"" 250GB Samsung 870 EVO, MZ-77E250BW";"Твердотельные диски (SSD)";"Samsung";"MZ-77E250BW";ad8861a2-71be-11eb-a454-7c8bca00133f;28294;35226;30076;1;4;36 мес.;51328;0;0;
"Диск SSD 2.5"" 500GB Samsung 870 EVO, MZ-77E500BW";"Твердотельные диски (SSD)";"Samsung";"MZ-77E500BW";aa6420dd-7a75-11eb-a454-7c8bca00133f;36405;44596;36091;1;2;12 мес.;52218;0;0;
"USB Flash drive 16Gb Netac U197, NT03U197N-016G-20BK, Black/Red, USB2.0";"USB Flash накопители";"Netac";"NT03U197N-016G-20BK";bfdd1158-7f90-11eb-a454-7c8bca00133f;894;1135;1393;7;20;12 мес.;51517;0;0;
"USB Flash drive 32Gb Netac U197, NT03U197N-032G-20BK, Black/Red, USB2.0";"USB Flash накопители";"Netac";"NT03U197N-032G-20BK";bfdd115a-7f90-11eb-a454-7c8bca00133f;1096;1632;1773;2;0;12 мес.;51518;0;0;
"Наушники Edifier K550, Black";"Наушники и гарнитуры";"Edifier";"Edifier K550 Black";5353e75e-914a-11eb-a454-7c8bca00133f;3864;4980;4729;1;2;12 мес.;38749;0;0;
"Мышь Rapoo N100, Black";"Мыши";"RAPOO";"Rapoo N100";b462b87f-9635-11eb-a454-7c8bca00133f;1100;1397;1153;10;0;6 мес.;51669;40;1;
"USB Flash drive 64Gb Apacer AH111, AP64GAH111U-1, USB2.0, Silver/Blue";"USB Flash накопители";"Apacer";"AP64GAH111U-1";e1af46a6-9636-11eb-a454-7c8bca00133f;2440;4143;4148;8;0;24 мес.;51646;0;0;
"Блок питания Chieftec Smart GPS-700A8, 700W";"Блоки питания";"Chieftec";"GPS-700A8";dd2ea92f-9e30-11eb-a454-7c8bca00133f;19305;24807;25312;2;0;24 мес.;88898932;0;0;
"Оперативная память DDR4 2666/4Gb Kingston, KVR26N19S6/4";"Оперативная память";"Kingston";"KVR26N19S6/4";0fc40707-c0c2-11e9-a5b1-7c8bca00133f;7400;11465;9777;2;0;36 мес.;47555;0;0;
"Конвертер DisplayPort > D-Sub";"Конвертеры";"No name";"DisplayPort > D-Sub";e23b2da2-7f37-11e7-a5fc-1c872c710840;793,33;2400;2500;5;0;1 мес.;41899;0;3;
"Монитор 23.6"" AOC M2470SWH/01, Black";"Мониторы";"AOC";"M2470SWH/01";6d0fba98-83d6-11e7-a5fc-1c872c710840;47535;62029;71303;2;0;36 мес.;41791;0;0;
"Блок питания Chieftec Element ELP-500S, 500W";"Блоки питания";"Chieftec";"ELP-500S";07957db1-58d3-11ec-a97d-7c8bca00133f;16128;24985;22912;2;0;12 мес.;50369;0;0;
"Блок питания Chieftec Force CPS-650S, 650W";"Блоки питания";"Chieftec";"CPS-650S";07957db5-58d3-11ec-a97d-7c8bca00133f;24920;31275;31522;1;3;12 мес.;88898948;0;0;
"Сетевой фильтр SHIP 700506102, для шкафов и стоек размера 19"", 6 розеток, 1.8 м, 16A, 4000W, чёрный";"Комплектующие для шкафов";"SHIP";"700506102";7d8606f7-06cb-11ea-acc0-7c8bca00133f;6212;8697;9437;2;5;12 мес.;88907672;0;0;
"Блок питания Aerocool VX-700 PLUS";"Блоки питания";"AeroCool";"VX-700 PLUS";f5b467c4-b282-11e8-ad56-7c8bca00133f;17487;22733;21347;1;1;12 мес.;45114;0;0;
"HUB USB 2.0 Defender Quadro Infix, 4 Port";"Разветвители USB";"Defender";"Quadro Infix";46c5ee2a-c9bb-11e4-afa1-d02788d90a1b;2747;3990;4290;1;0;6 мес.;35002;0;0;
"HUB USB 2.0 Defender Quadro Power, 4 Port";"Разветвители USB";"Defender";"Quadro Power";46c5ee30-c9bb-11e4-afa1-d02788d90a1b;4780;7887;6690;3;0;6 мес.;35024;0;1;
"Комплект вентиляторов для корпуса Deepcool MF120S, DPGS-FMF120S-M-3P";"Охлаждение для корпусов ПК";"DeepCool";"DPGS-FMF120S-M-3P";ac8a8597-b0ef-11eb-afee-7c8bca00133f;24000;30538;29760;1;2;12 мес.;52293;0;0;
"Блок питания 1stPlayer FK PS-700FK, 700W";"Блоки питания";"1stPlayer";"FK PS-700FK";bc24f76c-b657-11eb-afee-7c8bca00133f;16846;21900;21094;2;2;12 мес.;52041;0;0;
"Электрогриль Kitfort КТ-1639";"Электрогрили";"KITFORT";"КТ-1639";89e1b02d-b947-11eb-afee-7c8bca00133f;63219;81864;89263;1;0;12 мес.;59170;0;0;
"Процессор Intel Pentium Gold G6405 4.1 GHz, OEM";"Процессоры";"Intel";"G6405 OEM";45f5a19a-bf90-11eb-afee-7c8bca00133f;31150;38470;35805;1;1;12 мес.;52329;0;0;
"Корпус Nomad Cassiopeia, NMD-CASSIOPEIA";"Корпуса";"Nomad";"NMD-CASSIOPEIA";97c3b618-d9ca-11ec-b009-00155d466f08;17758;22819;22730;1;1;6 мес.;56358;0;0;
"Термопаста Arctic Cooling MX-4, 8гр (+ шпатель)";"Термопаста и термоклей";"Arctic";"AC MX-4-8 (+ шпатель)";083b1215-f75a-11ec-b09c-a8a1595902d2;2655;3319;3950;4;10;1 мес.;57485;0;0;
"Инвертор SVC SI-1000";"Инверторы";"SVC";"SI-1000";a9893112-0089-11ed-b0a4-a8a1595902d2;21986;28245;27240;2;1;12 мес.;56395;1;1;
"Масло моторное Castrol GTX 5W-40 A3/B4, 4л";"Масло моторное";"Castrol";"GTX 5W-40 A3/B4 4л";8b037b4b-0267-11ed-b0a4-a8a1595902d2;15120;18200;19354;1;0;1 мес.;57557;0;0;
"МФУ Xerox B225DNI, B225V_DNI";"МФУ лазерные";"Xerox";"B225V_DNI";009b5ee8-0326-11ed-b0a6-a8a1595902d2;119000;140420;138440;1;1;12 мес.;57207;1;0;
"Материнская плата ASRock H670 PG RIPTIDE";"Материнские платы";"ASRock";"H670 PG RIPTIDE";8fc67d8f-05ea-11ed-b0a6-a8a1595902d2;70065;83377;82677;1;0;36 мес.;57514;0;0;
"Масло моторное Petronas Syntium 7000 E 0W-30, 5л  (вышел срок)";"Масло моторное";"Petronas";"Syntium 7000 E 0W-30 5л";0bda2f78-065e-11ed-b0a6-a8a1595902d2;26900;18000;40350;8;3;1 мес.;57582;0;0;
"Материнская плата ASRock Z690 PG RIPTIDE";"Материнские платы";"ASRock";"Z690 PG RIPTIDE";786b1567-066b-11ed-b0a6-a8a1595902d2;86592;111266;94971;1;1;24 мес.;55190;0;0;
"Смеситель для раковины Lemark ""Atlantiss"", LM3206C";"Смесители";"Lemark";"LM3206C";b83fb1fc-092d-11ed-b0a7-a8a1595902d2;24596;33328;36894;1;0;12 мес.;57714;0;0;
"Смеситель для душа Lemark ""Atlantiss"", LM3220C";"Смесители";"Lemark";"LM3220C";b83fb20a-092d-11ed-b0a7-a8a1595902d2;33704;57955;49785;1;0;12 мес.;57715;0;0;
"Смеситель для кухни Lemark ""Atlantiss"", LM3255C";"Смесители";"Lemark";"LM3255C";b83fb20c-092d-11ed-b0a7-a8a1595902d2;20504;35274;29073;1;0;12 мес.;57716;0;0;
"Смеситель для душа Lemark ""Pramen"", LM3303C";"Смесители";"Lemark";"LM3303C";b83fb20e-092d-11ed-b0a7-a8a1595902d2;25300;43465;40245;1;0;12 мес.;57717;0;0;
"Смеситель для кухни Lemark ""Partner"", LM6554C";"Смесители";"Lemark";"LM6554C";b83fb210-092d-11ed-b0a7-a8a1595902d2;13005;21885;18752;1;0;12 мес.;57727;0;0;
"Материнская плата MSI PRO H610M-G DDR4";"Материнские платы";"MSI";"PRO H610M-G DDR4";3dc2d3ed-0cbb-11ed-b0a8-a8a1595902d2;35153;43062;41927;2;0;24 мес.;56767;0;0;
