SKU;КодКаспи;Номенклатура;Поставщик;Остаток;Цена;РРЦ;Артикул;Производитель;КредитРассрочка;БонуснаяЦена;СпецЦена;СрокГарантии;Категория;КодПоставщика;
46251;"12900186";"Чернила Epson C13T67354A L800, Light Cyan";"VSTrade";89;7685;8990;"C13T67354A";"Epson";10375;9130;8016;"1 мес.";"Чернила";"00008270";
46251;"12900186";"Чернила Epson C13T67354A L800, Light Cyan";"акцент";101;7736;8990;"C13T67354A";"Epson";10375;9130;8016;"1 мес.";"Чернила";"00008270";
44496;"12900182";"Чернила Epson C13T67314A L800, Black";"VSTrade";41;7685;8990;"C13T67314A";"Epson";10375;9130;8016;"1 мес.";"Чернила";"604";
46215;"12900183";"Чернила Epson C13T67324A L800, Cyan";"VSTrade";132;7685;8990;"C13T67324A";"Epson";10375;9130;8016;"1 мес.";"Чернила";"00008267";
46215;"12900183";"Чернила Epson C13T67324A L800, Cyan";"акцент";101;7736;8990;"C13T67324A";"Epson";10375;9130;8016;"1 мес.";"Чернила";"00008267";
44500;"12900180";"Чернила Epson C13T67334A L800, Magenta";"VSTrade";175;7685;8990;"C13T67334A";"Epson";10375;9130;8016;"1 мес.";"Чернила";"00008268";
44500;"12900180";"Чернила Epson C13T67334A L800, Magenta";"акцент";49;7736;8990;"C13T67334A";"Epson";10375;9130;8016;"1 мес.";"Чернила";"00008268";
46214;"12900185";"Чернила Epson C13T67344A L800, Yellow";"VSTrade";73;7685;8990;"C13T67344A";"Epson";10375;9130;8016;"1 мес.";"Чернила";"00008269";
46214;"12900185";"Чернила Epson C13T67344A L800, Yellow";"акцент";101;7736;8990;"C13T67344A";"Epson";10375;9130;8016;"1 мес.";"Чернила";"00008269";
46250;"12900187";"Чернила Epson C13T67364A L800, Light Magenta";"VSTrade";112;7685;8990;"C13T67364A";"Epson";10375;9130;8016;"1 мес.";"Чернила";"00008271";
46250;"12900187";"Чернила Epson C13T67364A L800, Light Magenta";"акцент";101;7736;8990;"C13T67364A";"Epson";10375;9130;8016;"1 мес.";"Чернила";"00008271";
43699;"9800583";"Корпус в серверный шкаф Delux DLC-MU415, 19"" 4U";"VenderG";51;40938;70000;"DLC-MU415";"Delux";53363;46959;42516;"12 мес.";"Комплектующие для шкафов";"23169";
54719;"7600531";"Маршрутизатор MikroTik hAP ac2, RBD52G-5HacD2HnD-TC";"VenderP";24;41000;55500;"RBD52G-5HacD2HnD-TC";"MikroTik";49405;44604;42480;"12 мес.";"Маршрутизаторы";"64093";
56475;"100539856";"Тонер-картридж Xerox 006R01702 (голубой)";"VenderS";47;69497;109021;"006R01702";"Xerox";82701;76807;71782;"1 мес.";"Картриджи, тонеры, барабаны";"32399";
56476;"100598061";"Тонер-картридж Xerox 006R01704 (жёлтый)";"VenderS";23;69497;109021;"006R01704";"Xerox";82701;76807;71782;"1 мес.";"Картриджи, тонеры, барабаны";"32401";
49487;"105557009";"Оперативная память DDR4 2666/4Gb AMD Radeon, R744G2606U1S-U";"Ацерти";180;10165;;"R744G2606U1S-U";"AMD";14333;12613;10570;"36 мес.";"Оперативная память";"33827";
49515;"100509837";"Оперативная память DDR4 2666/16Gb AMD Radeon, R7416G2606U2S-U";"Ацерти";144;28890;;"R7416G2606U2S-U";"AMD";35968;31652;29857;"36 мес.";"Оперативная память";"33833";
49481;"100132441";"Корпус MSI MAG FORGE 100M, Black";"Ацерти";90;26750;;"MAG FORGE 100M";"MSI";33571;31104;29623;"12 мес.";"Корпуса";"24620";
49489;"6601077";"Оперативная память для ноутбука DDR3 1600/8G Apacer, DS.08G2K.KAM, 1.5V";"VenderP";3;9520;12852;"DS.08G2K.KAM";"Apacer";12757;11226;9906;"24 мес.";"Оперативная память";"34670";
54700;"101306445";"Монитор 24"" ZOWIE XL2411K";"VenderG";51;112789;125321;"9H.LJPLB.QBE";"ZOWIE";133091;125399;119428;"24 мес.";"Мониторы";"42738";
52473;"101691101";"Коммутатор TP-Link TL-SG2218";"VenderP";27;79127;147990;"TL-SG2218";"TP-LINK";94161;85839;81751;"12 мес.";"Коммутаторы";"60013";
54654;"100732879";"Батарейка аккумуляторная CAMELION AA, NH-AA1800BP2, 2шт";"VenderP";51;1510;3120;"NH-AA1800BP2";"CAMELION";2567;2259;1666;"1 мес.";"Батарейки и зарядные устройства";"22382";
54715;"101847339";"Удлинитель SVC GXC3S-50M (3 розетки 5 метров), Black";"VenderS";51;1659;4922;"GXC3S-50M";"SVC";2074;1952;1859;"1 мес.";"Сетевые фильтры, адаптеры";"35891";
53719;"9000118";"Веб-камера Logitech HD WebCam C270, 960-001063/960-000999";"Марвел";0;10194,06;14489;"960-001063/960-000999";"Logitech";13354;11752;10600;"12 мес.";"Веб-камеры";"";
53719;"9000118";"Веб-камера Logitech HD WebCam C270, 960-001063/960-000999";"Asbis";510;10911;14489;"960-001063/960-000999";"Logitech";13354;11752;10600;"12 мес.";"Веб-камеры";"170175-960-001063";
88907774;"7300373";"Внешний HDD 1Tb Transcend StoreJet Blue, TS4TSJ25H3B";"акцент";101;90201;107790;"TS4TSJ25H3B";"Transcend";106888;97657;93007;"24 мес.";"Внешние HDD/SSD";"Н0000019518";
88899120;"101242567";"Кабель HDMI-HDMI Defender HDMI-05 v.1.4 1.5m";"акцент";4;931;1190;"HDMI-05 v.1.4 1.5m";"Defender";1182;1098;1046;"12 мес.";"Кабели";"Н0000018889";
52336;"114313379";"Маршрутизатор TP-Link Archer MR400";"stn";34;57790;62990;"Archer MR400";"TP-LINK";69059;62763;59774;"12 мес.";"Маршрутизаторы";"0000034065";
54687;"101570331";"Комплект игровой Defender Singularity MKP-118, 52118";"Пульсер";11;9529;13990;"MKP-118 52118";"Defender";12769;11237;10165;"6 мес.";"Игровые наборы";"169114";
54687;"101570331";"Комплект игровой Defender Singularity MKP-118, 52118";"акцент";24;10614;13990;"MKP-118 52118";"Defender";12769;11237;10165;"6 мес.";"Игровые наборы";"00-00003110";
54687;"101570331";"Комплект игровой Defender Singularity MKP-118, 52118";"Ацерти";18;10802;13990;"MKP-118 52118";"Defender";12769;11237;10165;"6 мес.";"Игровые наборы";"27958";
88910068;"9500145";"Веб-камера Logitech C922 Pro Stream, 960-001088";"Марвел";1;67780,62;73990;"960-001088";"Logitech";80659;73410;69914;"12 мес.";"Веб-камеры";"Marvel960-001088";
88910068;"9500145";"Веб-камера Logitech C922 Pro Stream, 960-001088";"Asbis";32;72574;73990;"960-001088";"Logitech";80659;73410;69914;"12 мес.";"Веб-камеры";"170175-960-001088";
50432;"100009959";"Блок питания Chieftec A-80 CTG-650C, 650W";"VenderP";11;26828;53890;"CTG-650C";"Chieftec";33669;29629;27883;"24 мес.";"Блоки питания";"60372";
50432;"100009959";"Блок питания Chieftec A-80 CTG-650C, 650W";"Пульсер";4;28462;53890;"CTG-650C";"Chieftec";33669;29629;27883;"24 мес.";"Блоки питания";"150684";
50432;"100009959";"Блок питания Chieftec A-80 CTG-650C, 650W";"Elco";2;29008;53890;"CTG-650C";"Chieftec";33669;29629;27883;"24 мес.";"Блоки питания";"ElcoCTG-650C";
50489;"100531709";"Материнская плата Gigabyte B550M AORUS ELITE";"VenderP";24;49564;65290;"B550M Aorus Elite";"Gigabyte";60120;53971;51401;"36 мес.";"Материнские платы";"34136";
51324;"114702723";"Кабель силовой Cablexpert PC-189-VDE, C13-C14, для ИБП, 1.8м";"Пульсер";6;1300;;"PC-189-VDE";"Cablexpert";1780;1566;1441;"1 мес.";"Кабели";"142857";
50974;"101069066";"Материнская плата ASUS TUF GAMING B450M-PLUS II";"Ацерти";10;53500;;"TUF Gaming B450M-Plus II";"ASUS";64200;58228;55455;"36 мес.";"Материнские платы";"26457";
43074;"7600294";"Маршрутизатор TP-LINK Archer MR200";"Ацерти";2;40125;58990;"Archer MR200";"TP-LINK";48351;43658;41579;"12 мес.";"Маршрутизаторы";"19036";
43074;"7600294";"Маршрутизатор TP-LINK Archer MR200";"VenderP";30;47634;58990;"Archer MR200";"TP-LINK";48351;43658;41579;"12 мес.";"Маршрутизаторы";"28823";
43074;"7600294";"Маршрутизатор TP-LINK Archer MR200";"stn";23;49290;58990;"Archer MR200";"TP-LINK";48351;43658;41579;"12 мес.";"Маршрутизаторы";"0000015546";
51129;"101132065";"Оперативная память DDR3 1600/4Gb AMD, R534G1601U1SL-U, 1.35V";"Ацерти";32;3745;;"R534G1601U1SL-U";"AMD";4681;4155;3957;"36 мес.";"Оперативная память";"33806";
51126;"101017212";"Корпус ThunderX3 Cronus-G-BK-v1, Black";"VSTrade";4;44520;;"Cronus-G-BK-v1";"ThunderX3";55415;51068;48636;"12 мес.";"Корпуса";"31367";
51179;"101014484";"Корпус Aerocool Aero One Frost Black, Frost-G-BK-v1";"VSTrade";24;36040;39900;"Aero One Frost Frost-G-BK-v1";"AeroCool";44149;41541;39563;"1 мес.";"Корпуса";"31362";
51178;"103570576";"Корпус Aerocool Quantum Mesh-G-BK-v3, RGB, Black, ATX";"VenderG";4;19720;31993;"Quantum Mesh-G-BK-v3";"AeroCool";25360;23205;22100;"12 мес.";"Корпуса";"35250";
51244;"101058697";"Стабилизатор SVC AVR-1200-U, 1200VA/600W";"VenderS";51;12375;19570;"AVR-1200-U";"SVC";16397;15229;13546;"12 мес";"Стабилизаторы";"29710";
88897558;"5400039";"ИБП SVC PT-2K-LCD ";"VenderP";51;130469;173956;"PT-2K-LCD";"SVC";159810;147632;140602;"12 мес.";"Источники бесперебойного питания";"8502";
51174;"101072792";"Материнская плата Gigabyte B550 GAMING X V2";"Пульсер";3;56779;70990;"B550 Gaming X V2";"Gigabyte";67851;61774;58832;"36 мес.";"Материнские платы";"161841";
51259;"21800271";"Коврик X-game League Legends";"VenderP";51;2140;3734;"League Legends";"X-Game";2675;2419;2304;"1 мес.";"Коврики для мыши";"28271";
51254;"21800273";"Коврик X-game World War Craft";"VenderP";51;1690;2690;"World War Craft";"X-Game";2113;1933;1841;"1 мес.";"Коврики для мыши";"28276";
51252;"101040901";"Коврик X-game Virtus Pro (Small)";"VenderP";85;631;990;"Virtus Pro (Small)";"X-Game";801;788;750;"1 мес.";"Коврики для мыши";"35729";
51256;"101086629";"Коврик X-game Virtus Pro";"VenderP";51;2030;3199;"Virtus Pro";"X-Game";2538;2301;2191;"1 мес.";"Коврики для мыши";"35735";
51257;"101085452";"Коврик X-game NAVI, 400x450x4 мм";"VenderP";51;2030;3199;"X-game NAVI";"X-Game";2580;2301;2191;"1 мес.";"Коврики для мыши";"35737";
51255;"101085538";"Коврик X-game Faze Clan";"VenderP";51;1690;3092;"Faze Clan";"X-Game";2113;1933;1841;"1 мес.";"Коврики для мыши";"35739";
51218;"101078795";"Диск SSD 2.5"" 240Gb Patriot Burst Elite, PBE240GS25SSDR";"Elco";73;9490;12923;"PBE240GS25SSDR";"Patriot";12717;11191;9875;"24 мес.";"Твердотельные диски (SSD)";"ElcoPBE240GS25SSDR";
51218;"101078795";"Диск SSD 2.5"" 240Gb Patriot Burst Elite, PBE240GS25SSDR";"VenderP";51;9743;12923;"PBE240GS25SSDR";"Patriot";12717;11191;9875;"24 мес.";"Твердотельные диски (SSD)";"50179";
51218;"101078795";"Диск SSD 2.5"" 240Gb Patriot Burst Elite, PBE240GS25SSDR";"Пульсер";101;10594;12923;"PBE240GS25SSDR";"Patriot";12717;11191;9875;"24 мес.";"Твердотельные диски (SSD)";"162960";
51253;"101040924";"Коврик X-game Faze Clan (Small)";"VenderP";85;635;1059;"Faze Clan (Small)";"X-Game";806;792;754;"1 мес.";"Коврики для мыши";"35731";
51233;"101078854";"Диск SSD M.2 PCI-E 512Gb Team Group MP33, TM8FP6512G0C101";"Ацерти";438;27018;;"TM8FP6512G0C101";"TEAM";33908;29839;27929;"36 мес.";"Твердотельные диски (SSD)";"32241";
