SKU;КодКаспи;Номенклатура;Поставщик;Остаток;Цена;РРЦ;Артикул;Производитель;КредитРассрочка;БонуснаяЦена;СпецЦена;СрокГарантии;Категория;КодПоставщика;
51231;"100074066";"Диск SSD M.2 512Gb SATA Team Group MS30, TM8PS7512G0C101";"Ацерти";103;24075;;"TM8PS7512G0C101";"TEAM";30214;26588;24897;"36 мес.";"Твердотельные диски (SSD)";"36122";
51270;"106473299";"Акустическая система Microlab B51, Black";"VenderS";51;4310;6195;"B51 Black";"Microlab";6250;5500;4789;"6 мес.";"Акустические системы";"17320";
51220;"30900977";"Кулер для процессора PCCOOLER E80";"Ацерти";48;1552;2166;"PCCooler E80";"PCCOOLER";2012;1836;1749;"1 мес.";"Кулеры для процессоров";"25709";
55010;"101175248";"Отпариватель Scarlett SC-GS130S07";"VenderP";5;36742;48990;"SC-GS130S07";"Scarlett";45009;40786;38844;"12 мес.";"Отпариватели";"60520";
55009;"4000217";"Отпариватель Scarlett SC-GS130S09";"VenderP";18;54483;85990;"SC-GS130S09";"Scarlett";65380;59973;57117;"12 мес.";"Отпариватели";"53273";
54622;"100168879";"USB Flash drive 32GB 2.0 Transcend TS32GJF590K черный";"акцент";101;2386;4190;"TS32GJF590K";"Transcend";2983;2633;2508;"12 мес.";"USB Flash накопители";"00017072";
54621;"12800517";"USB Flash drive 64GB 2.0 Transcend TS64GJF370 белый";"акцент";101;2456;5190;"TS64GJF370";"Transcend";3070;2709;2580;"24 мес.";"USB Flash накопители";"00009174";
54636;"101170158";"USB Flash drive 64Gb Netac U116, NT03U116N-064G-30WH, White, USB3.0";"Elco";17;1565;1910;"NT03U116N-064G-30WH";"Netac";1956;1745;1662;"12 мес.";"USB Flash накопители";"ElcoNT03U116N-064G-30WH";
54991;"101191813";"USB Flash drive 64Gb Netac U182, U182/64GB, Black/Red, USB3.0";"Elco";47;1750;;"U182/64GB";"Netac";2949;2595;1853;"12 мес.";"USB Flash накопители";"ElcoNT03U182N-064G-30RE";
54635;"101170856";"USB Flash drive 64Gb Netac U278 USB3.0,NT03U278N-064G-30PN";"акцент";101;1776;3190;"NT03U278N-064G-30PN";"Netac";2220;1973;1879;"12 мес.";"USB Flash накопители";"00-00001190";
54635;"101170856";"USB Flash drive 64Gb Netac U278 USB3.0,NT03U278N-064G-30PN";"Elco";174;1777;3190;"NT03U278N-064G-30PN";"Netac";2220;1973;1879;"12 мес.";"USB Flash накопители";"ElcoNT03U278N-064G-30PN";
55043;"103222210";"Батарея SVC AV4.5-12/S 12В 4.5 Ач";"VenderP";51;4498;6272;"AV4.5-12/S";"SVC";6522;5739;5113;"6 мес.";"Аккумуляторы для ИБП";"38379";
55016;"101333619";"Привод внешний DVD RW Verbatim 98938, USB, Black";"VenderP";51;14015;21200;"98938";"Verbatim";18570;16341;14585;"12 мес.";"Оптические приводы и дисководы";"36161";
54969;"103758609";"Корпус X-Game XC-370PS-2,  ATX, Black, 400W";"VenderG";51;10750;20623;"XC-370PS-2";"X-Game";14083;13128;12503;"1 мес.";"Корпуса";"39893";
55247;"135722913";"Коврик X-game Shadow (Small)";"VenderP";85;631;1059;"Shadow (Small)";"X-Game";806;788;750;"1 мес.";"Коврики для мыши";"32052";
52364;"21800307";"Коврик X-game Dota 2 (Small)";"VenderP";85;631;1059;"Dota 2 (Small)";"X-Game";801;788;750;"1 мес.";"Коврики для мыши";"28282";
55427;"30900128";"Вентилятор для корпуса Bequiet! Pure Wings 2 92mm PWM, BL038";"VenderP";145;4327;4890;"BL038";"be quiet!";6274;5521;4557;"12 мес.";"Охлаждение для корпусов ПК";"30047";
88908426;"103171371";"Батарейка VARTA CR2032, CR2032-BP1, 3V, 1шт";"VenderP";51;577;863;"VARTA CR2032-BP1";"Varta";863;759;667;"1 мес.";"Батарейки и зарядные устройства";"24910";
57040;"101317699";"Коврик Defender Black Ultra 800х300х3mm, 50561";"акцент";99;2771;3490;"50561";"Defender";3464;3102;2954;"1 мес.";"Коврики для мыши";"Н0000026133";
57040;"101317699";"Коврик Defender Black Ultra 800х300х3mm, 50561";"Ацерти";2;2782;3490;"50561";"Defender";3464;3102;2954;"1 мес.";"Коврики для мыши";"27436";
44511;"12900194";"Чернила Epson C13T03V14A, Black";"VSTrade";311;5088;5990;"C13T03V14A";"Epson";7225;6358;5341;"1 мес.";"Чернила";"Н0000018777";
44511;"12900194";"Чернила Epson C13T03V14A, Black";"акцент";101;5141;5990;"C13T03V14A";"Epson";7225;6358;5341;"1 мес.";"Чернила";"Н0000018777";
57328;"12900195";"Чернила Epson C13T03V24A, Blue";"VSTrade";293;3498;3990;"C13T03V24A";"Epson";4373;3888;3703;"1 мес.";"Чернила";"Н0000018701";
57328;"12900195";"Чернила Epson C13T03V24A, Blue";"акцент";4;3520;3990;"C13T03V24A";"Epson";4373;3888;3703;"1 мес.";"Чернила";"Н0000018701";
44513;"12900196";"Чернила Epson C13T03V34A, Magenta";"VSTrade";368;3498;3990;"C13T03V34A";"Epson";4373;3888;3703;"1 мес.";"Чернила";"23597";
45219;"21800184";"Коврик Steelseries QCK Heavy L, 63008";"VenderP";51;13000;16990;"63008";"SteelSeries";17225;15158;13490;"1 мес.";"Коврики для мыши";"23255";
57291;"135722907";"Карта памяти microSDXC 128Gb Kingston Canvas Go! Plus, SDCG3/128GBSP";"акцент";4;7003;12090;"SDCG3/128GBSP";"Kingston";9454;8320;7263;"36 мес.";"Карты памяти";"Н0000027101";
57490;"9100142";"Мышь Logitech G402 Hyperion Fury, 910-004067, Black";"Марвел";0;35377,5;44020;"910-004067";"Logitech";43337;38366;36539;"12 мес.";"Мыши";"Marvel910-004067";
53745;"100809649";"Мышь беспроводная Logitech G305 Lightspeed, 910-005291, White";"Марвел";1;32077,38;32988;"910-005291";"Logitech";39616;34862;33140;"12 мес.";"Мыши";"Marvel910-005291";
53745;"100809649";"Мышь беспроводная Logitech G305 Lightspeed, 910-005291, White";"Asbis";60;32151;32988;"910-005291";"Logitech";39616;34862;33140;"12 мес.";"Мыши";"170175-910-005291";
47580;"101146919";"Кабель HDMI(M) - HDMI(M) iPower iPiHDMi50 ver.1.4 5m";"VenderP";101;1338;4778;"iPiHDMi50 5m";"iPower";1699;1556;1482;"1 мес.";"Кабели";"21631";
47582;"";"Кабель HDMI(M) - HDMI(M) iPower iPiHDMi200 ver.1.4 20m";"VenderP";51;4548;10222;"iPiHDMi200 20m";"iPower";6595;5803;4916;"12 мес.";"Кабели";"27983";
47563;"6400338";"Процессор AMD Ryzen 5 3400G 3.7 GHz, OEM";"Ацерти";50;39055;36190;"Ryzen 5 3400G OEM";"AMD";47842;42312;40297;"12 мес.";"Процессоры";"24095";
47563;"6400338";"Процессор AMD Ryzen 5 3400G 3.7 GHz, OEM";"Asbis";18;39254,78;36190;"Ryzen 5 3400G OEM";"AMD";47842;42312;40297;"12 мес.";"Процессоры";"170132-YD3400C5M4MFH";
36732;"102330616";"Медиаконвертер TP-LINK MC100CM";"VenderP";38;15415;19090;"MC100CM";"TP-LINK";20040;17635;15957;"12 мес.";"Медиаконвертеры и трансиверы";"30558";
41233;"";"Картридж HP 645a Black C9730A";"VSTrade";1;181419;;"C9730A";"HP";226937;200156;187062;"";"Картриджи, тонеры, барабаны";"386";
41104;"";"Картридж лазерный HP 645A (C9731A), голубой";"VSTrade";1;254400;;"C9731A";"HP";349261;280588;262232;"";"Картриджи, тонеры, барабаны";"2309";
88899219;"";"Картридж HP CE413A, оригинальный, Magenta";"VSTrade";2;74200;;"CE413A";"HP";88298;81990;76626;"1 мес.";"Картриджи, тонеры, барабаны";"2897";
88899219;"";"Картридж HP CE413A, оригинальный, Magenta";"Марвел";4;77478,06;;"CE413A";"HP";88298;81990;76626;"1 мес.";"Картриджи, тонеры, барабаны";"MarvelCE413A";
88909298;"12900481";"Картридж HP 951XL Yellow, CN048AE";"VSTrade";8;20140;;"CN048AE";"HP";25899;22791;20894;"1 мес.";"Картриджи струйные";"10082";
44714;"12900302";"Картридж HP 932XL Black, CN053AE";"VSTrade";2;23479;;"CN053AE";"HP";29895;26308;24333;"1 мес.";"Картриджи струйные";"2975";
44714;"12900302";"Картридж HP 932XL Black, CN053AE";"Марвел";2;25418,4;;"CN053AE";"HP";29895;26308;24333;"1 мес.";"Картриджи струйные";"MarvelCN053AE";
44771;"12900287";"Картридж HP №933XL, CN054AE, Cyan";"VSTrade";45;11342;;"CN054AE";"HP";14858;13075;11832;"1 мес.";"Картриджи струйные";"8620";
44771;"12900287";"Картридж HP №933XL, CN054AE, Cyan";"comportal";18;11449;;"CN054AE";"HP";14858;13075;11832;"1 мес.";"Картриджи струйные";"120509";
44771;"12900287";"Картридж HP №933XL, CN054AE, Cyan";"Марвел";6;11876,16;;"CN054AE";"HP";14858;13075;11832;"1 мес.";"Картриджи струйные";"MarvelCN054AE";
44765;"12900303";"Картридж HP №933XL, CN055AE, Magenta";"VSTrade";72;11342;;"CN055AE";"HP";14858;13075;11832;"1 мес.";"Картриджи струйные";"4458";
44765;"12900303";"Картридж HP №933XL, CN055AE, Magenta";"comportal";8;11449;;"CN055AE";"HP";14858;13075;11832;"1 мес.";"Картриджи струйные";"120510";
44765;"12900303";"Картридж HP №933XL, CN055AE, Magenta";"Марвел";6;11876,16;;"CN055AE";"HP";14858;13075;11832;"1 мес.";"Картриджи струйные";"MarvelCN055AE";
44766;"12900028";"Картридж HP №933XL, CN056AE, Yellow";"VSTrade";66;11342;;"CN056AE";"HP";14858;13075;11832;"1 мес.";"Картриджи струйные";"8643";
44766;"12900028";"Картридж HP №933XL, CN056AE, Yellow";"comportal";10;11449;;"CN056AE";"HP";14858;13075;11832;"1 мес.";"Картриджи струйные";"120511";
44766;"12900028";"Картридж HP №933XL, CN056AE, Yellow";"Марвел";6;11876,16;;"CN056AE";"HP";14858;13075;11832;"1 мес.";"Картриджи струйные";"MarvelCN056AE";
43672;"102527751";"Картридж Xerox 106R02732, 3610/3615";"VenderS";1;128248;177518;"106R02732";"Xerox";150691;141556;132295;"";"Картриджи, тонеры, барабаны";"38078";
49272;"100067501";"Комплект беспроводной клавиатура + мышь Defender Berkeley C-925";"Пульсер";11;8110;12490;"Berkeley C-925";"Defender";11160;9821;8603;"6 мес.";"Наборы Клавиатура + Мышь";"162257";
49272;"100067501";"Комплект беспроводной клавиатура + мышь Defender Berkeley C-925";"акцент";24;9791;12490;"Berkeley C-925";"Defender";11160;9821;8603;"6 мес.";"Наборы Клавиатура + Мышь";"Н0000014235";
47612;"6800934";"Диск SSD M.2 PCI-E 256Gb Transcend MTE110S, TS256GMTE110S";"акцент";49;15724;20990;"TS256GMTE110S";"Transcend";20441;17988;16296;"24 мес.";"Твердотельные диски (SSD)";"Н0000019934";
88897562;"117206164";"Батарея APC APCRBC140";"comportal";2;456136;459500;"APCRBC140";"APC";531398;522552;488366;"";"Аккумуляторы для ИБП";"63681";
88897562;"117206164";"Батарея APC APCRBC140";"VenderG";30;459500;459500;"APCRBC140";"APC";531398;522552;488366;"";"Аккумуляторы для ИБП";"63681";
47621;"100084741";"Блок питания X-Game Shadow 400W";"VenderP";51;4925;7447;"Shadow 400W";"X-Game";7141;6284;5323;"12 мес.";"Блоки питания";"29028";
43831;"7600373";"Беспроводной VDSL/ADSL модем Tp-Link Archer VR300";"stn";32;35270;48990;"Archer VR300";"TP-LINK";43206;38407;36578;"12 мес.";"Модемы ADSL и 3G";"0000017438";
43831;"7600373";"Беспроводной VDSL/ADSL модем Tp-Link Archer VR300";"VenderP";51;39559;48990;"Archer VR300";"TP-LINK";43206;38407;36578;"12 мес.";"Модемы ADSL и 3G";"28590";
47646;"7600527";"Маршрутизатор Mercusys MW301R";"VenderP";51;6536;8390;"MW301R";"Mercusys";9150;8052;6982;"12 мес.";"Маршрутизаторы";"31004";
43056;"4801190";"Наушники Defender Gryphon HN-750 White";"акцент";49;3611;4590;"HN-750 White";"Defender";4514;4115;3919;"6 мес.";"Наушники и гарнитуры";"00-00002437";
43056;"4801190";"Наушники Defender Gryphon HN-750 White";"Ацерти";14;3697;4590;"HN-750 White";"Defender";4514;4115;3919;"6 мес.";"Наушники и гарнитуры";"15805";
42758;"9200378";"Клавиатура Defender Doom Keeper GK-100DL, RGB, USB";"акцент";24;7399;9490;"Doom Keeper GK-100DL";"Defender";9989;8790;7871;"12 мес.";"Клавиатуры";"Н0000018818";
39141;"106413922";"Кабельный тестер SHIP G268";"VenderP";51;8249;13777;"SHIP G268";"SHIP";12786;11252;8526;"6 мес.";"Контрольно-измерительные приборы";"1344";
42907;"";"Батарейка PANASONIC AAA LR03, LR03REB/10BW/LR03APB/10B, Alkaline Power, 1.5V, 10шт";"stn";50;3090;;"LR03REB/10BW/LR03APB/10B";"Panasonic";5253;4623;3356;"";"Батарейки и зарядные устройства";"0000011493";
42905;"114114531";"Батарейка PANASONIC AAA LR03, LR03REB/2BPR/LR03APB/2BP, Alkaline Power, 1.5V, 2шт";"stn";50;720;;"LR03REB/2BPR/LR03APB/2BP";"Panasonic";1800;1584;820;"";"Батарейки и зарядные устройства";"0000035026";
42904;"";"Батарейка PANASONIC AA LR6, LR6REB/10BW/LR6APB/10, Alkaline Power, 1.5V, 10шт";"stn";50;3110;;"LR6REB/10BW/LR6APB/10";"Panasonic";5287;4653;3378;"1 мес";"Батарейки и зарядные устройства";"0000011494";
43582;"9100953";"Мышь Delux DLM-136OUB, Black";"VenderS";61;959;1890;"DLM-136OUB";"Delux";1218;1142;1088;"12 мес.";"Мыши";"19832";
46295;"100728459";"Батарейка CAMELION AAA FR03, FR03-BP4, Lithium P7, 1.5V, 4шт";"VenderP";51;2500;4836;"FR03-BP4";"CAMELION";3125;2861;2725;"1 мес.";"Батарейки и зарядные устройства";"8620";
46295;"100728459";"Батарейка CAMELION AAA FR03, FR03-BP4, Lithium P7, 1.5V, 4шт";"Пульсер";11;3861;4836;"FR03-BP4";"CAMELION";3125;2861;2725;"1 мес.";"Батарейки и зарядные устройства";"104682";
46294;"103171321";"Батарейки CAMELION Lithium P7 FR6-BP2";"VenderP";51;1440;2720;"FR6-BP2";"CAMELION";1991;1752;1591;"1 мес.";"Батарейки и зарядные устройства";"8619";
88904827;"100178537";"Проекционный экран Deluxe DLS-T180xW";"VenderP";30;24385;37118;"DLS-T180xW";"Deluxe";30603;28998;27617;"";"Экраны для проекторов";"19665";
43196;"100728553";"Батарейка CAMELION AA, LR6-PB24, Plus Alkaline, 1.5V,2800 mAh, 24шт";"VenderP";51;3130;4730;"LR6-PB24";"CAMELION";3913;3569;3399;"1 мес.";"Батарейки и зарядные устройства";"8614";
43196;"100728553";"Батарейка CAMELION AA, LR6-PB24, Plus Alkaline, 1.5V,2800 mAh, 24шт";"Ацерти";12;3445;4730;"LR6-PB24";"CAMELION";3913;3569;3399;"1 мес.";"Батарейки и зарядные устройства";"15581";
43196;"100728553";"Батарейка CAMELION AA, LR6-PB24, Plus Alkaline, 1.5V,2800 mAh, 24шт";"Пульсер";11;3527;4730;"LR6-PB24";"CAMELION";3913;3569;3399;"1 мес.";"Батарейки и зарядные устройства";"104680";
40152;"100754090";"Точка доступа 300M Tp-Link EAP115";"VenderP";51;24217;29990;"EAP115";"TP-LINK";30392;26745;25194;"12 мес.";"Беспроводные точки доступа";"24273";
44554;"12900662";"Картридж HP CF256A, оригинал";"VSTrade";7;20935;;"CF256A";"HP";26273;23286;21763;"1 мес.";"Картриджи, тонеры, барабаны";"23344";
44554;"12900662";"Картридж HP CF256A, оригинал";"Марвел";4;21904,68;;"CF256A";"HP";26273;23286;21763;"1 мес.";"Картриджи, тонеры, барабаны";"MarvelCF256A";
42922;"7600384";"Усилитель Wi-Fi сигнала TP-Link RE305";"stn";6;17840;24990;"TP-Link RE305";"TP-LINK";24251;21341;18525;"12 мес.";"Усилители сигнала (репиторы)";"0000015720";
42922;"7600384";"Усилитель Wi-Fi сигнала TP-Link RE305";"VenderP";51;20179;24990;"TP-Link RE305";"TP-LINK";24251;21341;18525;"12 мес.";"Усилители сигнала (репиторы)";"24093";
